Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.16,-.28,-.05,-.35,-.13,-.02,-.83,-.45,-.26,-.15,-.10,-.04,.05,.63
1881,-.08,-.16,.00,-.32,.10,-.07,-.92,-.42,-.17,.10,.11,-.05,-.07,.55
1882,-.10,-.20,-.01,-.28,-.05,.01,-1.42,-.24,-.11,-.05,-.05,.01,.04,.59
1883,-.17,-.27,-.07,-.33,-.17,-.02,-.20,-.53,-.24,-.17,-.16,-.04,.07,.46
1884,-.28,-.43,-.15,-.60,-.15,-.14,-1.35,-.65,-.44,-.13,-.17,-.19,-.02,.61
1885,-.32,-.41,-.25,-.63,-.12,-.28,-1.52,-.66,-.43,-.05,-.20,-.33,-.15,.78
1886,-.30,-.41,-.20,-.55,-.18,-.22,-1.61,-.48,-.38,-.19,-.18,-.20,-.21,.55
1887,-.35,-.41,-.29,-.50,-.28,-.28,-1.76,-.49,-.26,-.27,-.30,-.27,-.26,.28
1888,-.16,-.21,-.12,-.39,.11,-.29,-1.30,-.40,-.22,.09,.12,-.31,-.23,.12
1889,-.10,-.16,-.04,-.28,.09,-.17,-.68,-.21,-.25,.04,.13,-.15,-.15,.41
1890,-.35,-.37,-.33,-.45,-.36,-.23,-1.13,-.56,-.25,-.24,-.48,-.18,-.27,.11
1891,-.22,-.24,-.19,-.41,-.07,-.22,-1.12,-.32,-.35,.03,-.17,-.18,-.24,-.20
1892,-.26,-.37,-.16,-.42,-.28,-.08,-1.12,-.63,-.16,-.30,-.27,.02,-.21,.05
1893,-.31,-.46,-.16,-.50,-.36,-.05,-.69,-.53,-.45,-.40,-.31,.07,-.20,-.08
1894,-.29,-.36,-.22,-.31,-.32,-.24,-.94,-.31,-.16,-.45,-.19,-.15,-.35,-.42
1895,-.22,-.28,-.15,-.38,-.06,-.26,-.65,-.50,-.25,-.11,.00,-.20,-.32,-.62
1896,-.10,-.17,-.04,-.33,.11,-.16,-.86,-.34,-.20,.09,.13,-.15,-.13,.21
1897,-.10,-.14,-.06,-.34,.18,-.24,-.56,-.44,-.22,.17,.19,-.19,-.27,.36
1898,-.26,-.25,-.27,-.32,-.21,-.27,-1.12,-.18,-.21,-.15,-.27,-.28,-.21,.34
1899,-.17,-.19,-.14,-.23,-.11,-.19,-1.05,-.07,-.13,-.14,-.09,-.15,-.22,.54
